symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0.8,0.298429,6,0,0,0,1,0,0,0.274052,0.470149,0.408333,0.3,0.48332,2,0,0.218868,4,0.635714,0.552381,0.1375,0.175,0.346939,0.305556,0.342105,11048
0.4,0.418848,7,0,0,1,2,0,0,0.769679,0.873134,0.775,0.416667,1,0,1,0.743396,0,0.778571,1,0.06875,0.533333,0.244898,0.055556,0.078947,32250
0.4,0.298429,7,0,0,1,2,0,0,0.769679,0.873134,0.775,0.416667,1,0,1,0.743396,0,0.778571,1,0.06875,0.533333,0.244898,0.055556,0.078947,35550
0.4,0.298429,7,0,0,0,2,0,0,0.44898,0.755224,0.858333,0,0.955004,1,4,1,0,0.714286,0.328571,0.28125,0.891667,0.346939,0,0.026316,36000
0.6,0.204188,8,0,0,0,1,1,0,0.189504,0.268657,0.325,0.525,0.155935,2,0,0.113208,1,0.35,0.514286,0.125,0.083333,0.346939,0.472222,0.394737,5195
0.6,0.204188,8,0,0,0,1,1,0,0.189504,0.268657,0.325,0.525,0.159814,2,0,0.113208,1,0.35,0.514286,0.125,0.083333,0.346939,0.5,0.578947,6095
0.6,0.204188,8,0,0,0,1,1,0,0.189504,0.268657,0.325,0.525,0.161753,2,0,0.113208,1,0.35,0.514286,0.125,0.083333,0.346939,0.5,0.578947,6795
0.6,0.251309,8,0,0,1,2,1,0,0.189504,0.383582,0.325,0.525,0.177269,2,0,0.113208,1,0.35,0.514286,0.125,0.083333,0.346939,0.5,0.578947,6695
0.6,0.251309,8,0,0,1,2,1,0,0.189504,0.383582,0.325,0.525,0.179209,2,0,0.113208,1,0.385714,0.514286,0.125,0.083333,0.346939,0.5,0.578947,7395
1,0.445026,8,0,0,0,1,0,0,0.253644,0.416418,0.45,0.15,0.346005,4,5,0.033962,5,0.564108,0.564487,0.15,0.220833,0.755102,0.111111,0.184211,10945
1,0.445026,8,0,0,0,1,0,0,0.253644,0.416418,0.45,0.15,0.346005,4,5,0.033962,5,0.564108,0.564487,0.15,0.220833,0.755102,0.111111,0.184211,11845
1,0.445026,8,0,0,0,1,0,0,0.253644,0.416418,0.45,0.15,0.347944,4,5,0.033962,5,0.564108,0.564487,0.15,0.220833,0.755102,0.111111,0.184211,13645
1,0.445026,8,0,0,0,1,0,0,0.253644,0.416418,0.45,0.15,0.392552,4,5,0.071698,0,0.564108,0.564487,0.15,0.3625,0.755102,0.083333,0.184211,15645
0.6,0.335079,8,0,0,0,1,1,0,0.355685,0.547761,0.516667,0.491667,0.347944,2,0,0.230189,1,0.607143,0.628571,0.1,0.15,0.265306,0.361111,0.421053,8845
0.4,0.26178,8,0,0,1,2,1,0,0.355685,0.547761,0.516667,0.641667,0.357642,2,0,0.230189,1,0.607143,0.628571,0.1,0.15,0.265306,0.361111,0.421053,8495
0.6,0.335079,8,0,0,0,1,1,0,0.355685,0.547761,0.516667,0.491667,0.347944,2,0,0.230189,1,0.607143,0.628571,0.1,0.15,0.265306,0.361111,0.421053,10595
0.4,0.26178,8,0,0,1,2,1,0,0.355685,0.547761,0.516667,0.641667,0.357642,2,0,0.230189,1,0.607143,0.628571,0.1,0.15,0.265306,0.361111,0.421053,10245
0.4,0.298429,8,1,0,1,2,1,0,0.355685,0.547761,0.516667,0.641667,0.370442,2,0,0.230189,6,0.607143,0.628571,0.98125,0.066667,0.204082,0.638889,0.684211,10795
0.4,0.26178,8,0,0,1,1,1,0,0.355685,0.547761,0.516667,0.641667,0.36346,2,0,0.230189,1,0.607143,0.628571,0.1,0.15,0.265306,0.361111,0.421053,11245
0.4,0.277487,8,0,0,1,2,0,0,0.533528,0.50597,0.483333,0.55,0.458495,2,0,0.298113,0,0.871429,0.519048,0.0625,0.3,0.346939,0.166667,0.289474,18280
0.4,0.298429,8,1,0,1,2,0,0,0.533528,0.50597,0.483333,0.55,0.470132,2,0,0.275472,6,0.635714,0.747619,0.9375,0.1,0.020408,0.5,0.605263,18344
0.2,0.146597,9,1,1,1,2,0,0,0.682216,0.743284,0.833333,0.725,0.786268,2,2,0.460377,6,0.742857,0.747619,0.90625,0.3125,0.081633,0.25,0.236842,25552
0.2,0.146597,9,1,1,1,3,0,0,0.682216,0.743284,0.833333,0.908333,0.877424,2,2,0.460377,6,0.742857,0.747619,0.90625,0.3125,0.081633,0.25,0.236842,28248
0.4,0.146597,9,1,1,0,4,0,0,0.586006,0.692537,0.833333,0.591667,0.77851,2,2,0.460377,6,0.742857,0.747619,0.90625,0.3125,0.081633,0.25,0.236842,28176
0.2,0.146597,9,1,1,1,2,0,0,0.845481,0.91791,0.95,0.708333,0.885182,2,2,0.460377,6,0.742857,0.747619,0.90625,0.3125,0.081633,0.25,0.236842,31600
0.2,0.298429,9,0,0,1,2,0,0,0.845481,0.91791,0.95,0.725,0.873545,1,6,0.65283,0,0.657143,0.490476,0.08125,0.445833,0.244898,0.083333,0.052632,34184
1,0.403141,9,0,0,0,0,0,0,0.291545,0.585075,0.85,0.25,0.852211,1,6,0.65283,0,0.657143,0.490476,0.08125,0.445833,0.244898,0.083333,0.052632,35056
0.4,0.298429,9,0,0,1,2,0,0,1,1,0.95,0.741667,0.935609,1,6,0.932075,0,0.9,0.609524,0.0625,0.566667,0.142857,0.027778,0,40960
0.6,0.298429,9,0,0,0,4,0,0,0.740525,0.867164,0.975,0.633333,0.863848,1,6,0.916981,0,0.9,0.609524,0.0625,0.566667,0.142857,0.027778,0,45400
0.6,0.298429,10,0,1,0,1,0,0,0.469388,0.556716,0.641667,0.583333,0.55159,2,0,0.298113,0,0.885714,0.5,0.0625,0.529167,0.346939,0.166667,0.210526,16503
0.8,0.502618,11,0,0,0,1,1,0,0.206997,0.241791,0.341667,0.25,0.166796,2,0,0.116981,1,0.307143,0.552381,0.15,0.083333,0.55102,0.666667,0.657895,5389
0.8,0.502618,11,0,0,0,1,1,0,0.206997,0.241791,0.341667,0.25,0.176881,2,0,0.116981,1,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,6189
0.8,0.502618,11,0,0,0,1,1,0,0.206997,0.241791,0.341667,0.25,0.200155,2,0,0.116981,1,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,6669
0.6,0.502618,11,0,1,0,1,1,0,0.186589,0.241791,0.291667,0.25,0.254849,2,0,0.139623,7,0.35,0.628571,0.0375,0.225,0.55102,0.305556,0.368421,7689
1,0.460733,11,0,1,0,1,1,0,0.282799,0.476119,0.425,0.133333,0.342126,2,0,0.184906,7,0.45,0.661905,0.03125,0.283333,0.55102,0.277778,0.368421,9959
1,0.460733,11,0,0,0,1,1,0,0.282799,0.476119,0.425,0.133333,0.325834,2,0,0.230189,1,0.578571,0.661905,0.09375,0.166667,0.346939,0.333333,0.421053,8499
1,0.298429,11,0,1,0,1,1,0,0.271137,0.479104,0.5,0.2,0.521722,2,0,0.358491,7,0.742857,0.852381,0,0.404167,0.346939,0.166667,0.210526,12629
1,0.298429,11,0,1,0,1,1,0,0.271137,0.479104,0.5,0.2,0.555857,2,0,0.358491,7,0.75,0.852381,0,0.404167,0.346939,0.166667,0.210526,14869
1,0.298429,11,0,1,0,1,1,0,0.271137,0.479104,0.5,0.2,0.557797,2,0,0.358491,7,0.75,0.852381,0,0.404167,0.346939,0.166667,0.210526,14489
0.6,0.314136,11,0,0,1,2,1,0,0.282799,0.467164,0.425,0.316667,0.340186,2,0,0.230189,1,0.578571,0.661905,0.09375,0.166667,0.346939,0.333333,0.421053,6989
0.6,0.314136,11,0,0,1,2,1,0,0.282799,0.467164,0.425,0.316667,0.355702,2,0,0.230189,1,0.578571,0.661905,0.09375,0.166667,0.346939,0.333333,0.421053,8189
0.6,0.314136,11,0,1,1,2,1,0,0.282799,0.467164,0.425,0.316667,0.354926,2,0,0.184906,7,0.45,0.661905,0.03125,0.283333,0.55102,0.277778,0.368421,9279
0.2,0.376963,11,0,0,1,2,1,0,0.282799,0.467164,0.425,0.316667,0.354926,2,0,0.184906,7,0.45,0.661905,0.03125,0.283333,0.55102,0.277778,0.368421,9279
0.6,0.329843,12,0,0,0,2,1,0,0.230321,0.361194,0.291667,0.558333,0.155547,2,0,0.135849,1,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,5499
0.6,0.329843,12,1,0,0,2,1,0,0.230321,0.361194,0.291667,0.558333,0.205198,2,0,0.158491,6,0.321429,0.666667,0.93125,0.029167,0.265306,0.888889,0.894737,7099
0.6,0.329843,12,0,0,0,2,1,0,0.230321,0.361194,0.291667,0.558333,0.166796,2,0,0.135849,1,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,6649
0.6,0.298429,12,0,0,1,2,1,0,0.230321,0.361194,0.291667,0.558333,0.174554,2,0,0.135849,1,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,6849
0.6,0.198953,12,0,0,1,3,1,0,0.230321,0.434328,0.291667,0.475,0.207913,2,0,0.135849,1,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,7349
0.6,0.329843,12,0,0,0,2,1,0,0.230321,0.361194,0.291667,0.558333,0.179597,2,0,0.135849,1,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,7299
0.6,0.329843,12,0,0,0,1,1,0,0.230321,0.365672,0.291667,0.458333,0.209465,2,0,0.135849,1,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,7799
0.6,0.298429,12,0,0,1,2,1,0,0.230321,0.361194,0.291667,0.558333,0.187355,2,0,0.135849,1,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,7499
0.6,0.198953,12,0,0,1,3,1,0,0.230321,0.434328,0.291667,0.475,0.212956,2,0,0.135849,1,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,7999
0.8,0.539267,12,0,0,0,4,1,0,0.247813,0.31791,0.291667,0.458333,0.201707,2,0,0.135849,1,0.435714,0.580952,0.15,0.0875,0.428571,0.5,0.552632,8249
0.4,0.21466,12,0,0,1,1,1,0,0.309038,0.48209,0.408333,0.575,0.324282,2,0,0.222642,1,0.564286,0.666667,0.09375,0.204167,0.428571,0.388889,0.473684,8949
0.4,0.21466,12,0,0,1,2,1,0,0.309038,0.48209,0.408333,0.575,0.315749,2,0,0.222642,1,0.564286,0.666667,0.09375,0.204167,0.428571,0.388889,0.473684,9549
0.4,0.329843,12,0,0,1,2,1,0,0.402332,0.60597,0.516667,0.608333,0.623351,1,1,0.45283,0,0.635714,0.571429,0.125,0.433333,0.428571,0.111111,0.157895,13499
0.4,0.225131,12,0,0,1,3,1,0,0.402332,0.649254,0.516667,0.691667,0.701319,1,1,0.45283,0,0.635714,0.571429,0.125,0.433333,0.428571,0.111111,0.157895,14399
0.4,0.225131,12,0,0,1,2,1,0,0.402332,0.649254,0.516667,0.608333,0.609775,1,1,0.45283,0,0.635714,0.571429,0.125,0.433333,0.428571,0.166667,0.236842,13499
1,0.675393,12,0,0,0,1,0,0,0.137026,0.441791,0.633333,0.158333,0.614042,1,1,0.45283,0,0.635714,0.571429,0.125,0.466667,0.428571,0.166667,0.236842,17199
1,0.675393,12,0,1,0,1,0,0,0.137026,0.441791,0.633333,0.158333,0.640419,1,1,0.45283,0,0.635714,0.571429,0.05,0.633333,0.428571,0.111111,0.184211,19699
0.6,0.86911,12,0,0,0,1,0,0,0.367347,0.558209,0.633333,0.158333,0.640419,1,1,0.45283,0,0.635714,0.571429,0.125,0.466667,0.428571,0.166667,0.236842,18399
0.4,0.502618,13,0,0,1,2,0,0,0.620991,0.680597,0.675,0.741667,0.594259,3,0,0.222642,0,0.657143,0.533333,0.0875,0.204167,0.346939,0.166667,0.210526,11900
0.4,0.502618,13,1,1,1,2,0,0,0.620991,0.680597,0.675,0.741667,0.662917,3,0,0.343396,6,0.828571,0.690476,0.875,0.195833,0,0.416667,0.447368,13200
0.4,0.298429,13,0,0,1,3,0,0,0.804665,0.862687,0.675,0.908333,0.675718,3,0,0.222642,0,0.657143,0.533333,0.0875,0.204167,0.346939,0.166667,0.210526,12440
0.4,0.298429,13,1,1,1,3,0,0,0.804665,0.862687,0.675,0.908333,0.753297,3,0,0.343396,6,0.828571,0.690476,0.875,0.195833,0,0.333333,0.236842,13860
0.4,0.502618,13,0,0,1,2,0,0,0.620991,0.680597,0.675,0.741667,0.615593,3,0,0.222642,0,0.657143,0.057143,0.0875,0.195833,0.346939,0.166667,0.210526,15580
0.4,0.502618,13,1,1,1,2,0,0,0.620991,0.680597,0.675,0.741667,0.684251,3,0,0.343396,6,0.828571,0.690476,0.875,0.195833,0,0.416667,0.447368,16900
0.4,0.298429,13,0,0,1,3,0,0,0.804665,0.862687,0.675,0.741667,0.697052,3,0,0.222642,0,0.657143,0.057143,0.0875,0.195833,0.346939,0.166667,0.210526,16695
0.4,0.298429,13,1,1,1,3,0,0,0.804665,0.862687,0.675,0.908333,0.774631,3,0,0.343396,6,0.828571,0.690476,0.875,0.195833,0,0.333333,0.236842,17075
0.4,0.502618,13,0,0,1,2,0,0,0.620991,0.680597,0.675,0.741667,0.615593,3,0,0.222642,0,0.657143,0.533333,0.0875,0.204167,0.346939,0.166667,0.210526,16630
0.4,0.502618,13,1,1,1,2,0,0,0.620991,0.680597,0.675,0.741667,0.684251,3,0,0.343396,6,0.828571,0.690476,0.875,0.195833,0,0.416667,0.447368,17950
0.4,0.502618,13,0,1,1,2,0,0,0.623907,0.680597,0.666667,0.683333,0.636928,3,0,0.275472,0,0.764286,0.542857,0,0.391667,0.591837,0.138889,0.210526,18150
0.6,0.282723,14,0,0,0,1,1,0,0.206997,0.241791,0.291667,0.25,0.166796,2,0,0.109434,1,0.307143,0.552381,0.15,0.083333,0.55102,0.666667,0.657895,5572
0.6,0.282723,14,0,1,0,1,1,0,0.206997,0.241791,0.291667,0.25,0.248254,2,0,0.139623,7,0.35,0.628571,0.0375,0.225,0.55102,0.305556,0.368421,7957
0.6,0.465969,14,0,0,1,1,1,0,0.206997,0.241791,0.291667,0.233333,0.185803,2,0,0.109434,1,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,6229
0.6,0.465969,14,0,0,1,2,1,0,0.206997,0.391045,0.291667,0.25,0.194337,2,0,0.109434,1,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,6692
0.6,0.465969,14,0,0,1,2,1,0,0.206997,0.391045,0.291667,0.25,0.272692,2,0,0.139623,1,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,7609
0.2,0.04712,14,0,0,1,3,1,0,0.48688,0.5,0.358333,1,0.406129,2,0,0.230189,1,0.578571,0.661905,0.09375,0.166667,0.346939,0.305556,0.368421,8921
1,0.298429,14,0,1,0,1,0,0,0.271137,0.479104,0.5,0.2,0.515904,2,0,0.358491,7,0.75,0.852381,0,0.404167,0.346939,0.166667,0.210526,12764
1,0.633508,15,0,0,0,1,0,0,0.230321,0.414925,0.666667,0.2,0.500388,2,0,0.339623,0,1,0.495238,0.15625,0.395833,0.55102,0.166667,0.289474,22018
1,0.298429,15,0,0,0,4,0,1,0.084548,0.414925,0.391667,0.316667,0.491854,5,1,0.501887,0,0.857143,0.395238,0.15625,0.6625,0.714286,0.111111,0.236842,32528
1,0.298429,15,0,0,0,4,0,1,0.084548,0.414925,0.391667,0.316667,0.491854,5,1,0.501887,0,0.857143,0.395238,0.15625,0.6625,0.714286,0.111111,0.236842,34028
1,0.298429,15,0,0,0,0,0,1,0.084548,0.414925,0.391667,0.316667,0.508922,5,1,0.501887,0,0.857143,0.395238,0.15625,0.6625,0.714286,0.111111,0.236842,37028
0.6,0.298429,15,0,0,0,1,0,0,0.344023,0.516418,1,0.225,0.728472,6,6,0.535849,0,1,0.495238,0.1875,1,0.653061,0.111111,0.315789,?
0.4,0.298429,16,0,0,1,3,1,0,0.276968,0.602985,0.516667,0.616667,0.423196,2,0,0.267925,0,0.657143,0.871429,0.10625,0.234401,0.39811,0.277778,0.394737,9295
0.8,0.298429,16,0,0,0,1,1,0,0.276968,0.532836,0.525,0.225,0.377036,2,0,0.267925,0,0.657143,0.871429,0.10625,0.234401,0.39811,0.277778,0.394737,9895
1,0.445026,17,0,0,0,1,1,0,0.364431,0.679104,0.516667,0.691667,0.45384,2,0,0.226415,0,0.714286,0.47619,0.144375,0.258333,0.44898,0.222222,0.315789,11850
0.8,0.204188,17,0,0,1,2,1,0,0.364431,0.679104,0.516667,0.691667,0.468192,2,0,0.226415,0,0.714286,0.47619,0.14375,0.258333,0.44898,0.222222,0.315789,12170
1,0.445026,17,0,0,0,1,1,0,0.364431,0.679104,0.516667,0.691667,0.472847,2,0,0.226415,0,0,0,0.14375,0.258333,0.44898,0.222222,0.315789,15040
0.8,0.204188,17,0,0,1,2,1,0,0.364431,0.679104,0.516667,0.691667,0.49263,2,0,0.226415,0,0.714286,0.47619,0.14375,0.258333,0.44898,0.222222,0.315789,15510
1,0.445026,17,0,1,0,1,1,0,0.364431,0.679104,0.516667,0.691667,0.512025,0,0,0.226415,0,0.714286,0.47619,0.125,0.466667,0.55102,0.166667,0.263158,18150
0.8,0.204188,17,0,1,1,2,1,0,0.364431,0.679104,0.516667,0.691667,0.527153,0,0,0.226415,0,0.714286,0.47619,0.125,0.466667,0.55102,0.166667,0.263158,18620
0.8,0.094241,18,0,0,0,1,1,0,0.206997,0.235821,0.258333,0.491667,0.217998,5,0,0.135849,1,0.771429,0.138095,0.125,0.0875,0.306122,0.5,0.526316,5118
0.8,0.094241,18,0,0,0,1,1,0,0.206997,0.250746,0.275,0.491667,0.245151,5,0,0.177358,1,0.771429,0.271429,0.10625,0.104167,0.102041,0.361111,0.394737,7053
0.8,0.094241,18,0,0,0,1,2,0,0.195335,0.241791,0.291667,0.658333,0.291699,5,0,0.177358,1,0.771429,0.271429,0.10625,0.104167,0.102041,0.361111,0.394737,7603
0.4,0.193717,18,0,0,1,2,1,0,0.309038,0.461194,0.425,0.391667,0.254849,5,0,0.177358,1,0.771429,0.271429,0.15625,0.141667,0.265306,0.527778,0.552632,7126
0.4,0.193717,18,0,0,1,2,1,0,0.309038,0.461194,0.425,0.391667,0.272304,5,0,0.177358,1,0.771429,0.271429,0.15625,0.141667,0.102041,0.416667,0.447368,7775
0.4,0.193717,18,0,0,1,2,1,0,0.309038,0.461194,0.425,0.391667,0.330489,5,0,0.177358,0,0.771429,0.271429,0.125,0.191667,0.428571,0.361111,0.421053,9960
0.4,0.193717,18,0,0,1,2,2,0,0.303207,0.461194,0.425,0.541667,0.347944,5,0,0.177358,1,0.771429,0.271429,0.125,0.141667,0.265306,0.305556,0.236842,9233
