@relation 'AT: original_dataset-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.7p1+0.413p3+0.407p4+0.395p2-0.086stab... numeric
@attribute '0.698stab+0.27 g3+0.265tau2+0.255g2+0.245g1...' numeric
@attribute -0.598g4-0.399g1+0.351tau3+0.326tau2+0.295g2... numeric
@attribute 0.465tau1+0.429g2-0.388g3-0.345tau4-0.319p2... numeric
@attribute 0.476tau4-0.474g3+0.409g1-0.363p4+0.253g2... numeric
@attribute 0.471tau4+0.437p4-0.383tau2-0.343p2-0.313tau1... numeric
@attribute 0.518tau3-0.508p3+0.405p2+0.319g2-0.299tau4... numeric
@attribute '-0.48g1-0.469tau3+0.372tau2+0.37 p2-0.365p3...' numeric
@attribute 0.536tau1-0.403g3-0.391g1+0.364tau3+0.257g4... numeric
@attribute '0.61 tau2-0.466g3+0.431g4-0.393tau1-0.166g2...' numeric
@attribute -0.523g2+0.437p4-0.347g4-0.326p3+0.325tau4... numeric
@attribute stabf {unstable,stable}

@data
-0.530767,1.198663,-0.431749,-0.105382,1.470578,-0.045091,-0.019902,0.474136,-0.467163,2.241933,0.00255,unstable
-2.131922,2.628165,-1.376965,-0.945459,-0.042433,-1.423126,-1.612764,0.428836,0.143287,0.076074,0.542159,unstable
0.618479,2.052101,-1.801395,0.661172,-1.387251,-1.913515,0.631988,0.37148,-0.435415,-0.143676,-0.820276,unstable
-0.652446,0.268994,-0.506276,-2.783998,0.373852,-1.208009,1.196435,-0.213133,-0.817449,1.056065,1.586111,stable
-0.715894,0.325434,-1.323797,-0.496346,-0.010053,-0.648572,0.085845,1.157358,2.118753,-0.662122,-0.429299,unstable
-1.181856,1.833679,0.46371,-1.644894,-0.522814,0.85615,1.554205,0.450158,-0.946514,0.733227,-0.625197,unstable
2.60974,-1.143355,-0.483999,0.501229,0.200513,-1.131936,-0.554243,0.62613,0.43346,-0.785732,1.316062,stable
0.976091,2.591699,1.516315,0.551959,-0.200019,-1.723328,0.010659,-0.477015,-1.180164,-1.022664,-0.570205,unstable
1.259322,-0.631307,1.683487,-1.716233,-0.240013,0.700674,-0.425424,-0.384846,0.870521,0.46437,1.64662,stable
-0.352242,-0.909693,0.254103,0.623751,-0.831665,-0.742761,-0.716127,0.187998,-0.244956,-2.4814,0.941256,stable
1.939935,0.089884,0.114596,0.115983,0.661614,0.598832,1.287498,-0.342121,2.02498,0.124696,-1.968544,unstable
-1.084785,-3.50067,0.297423,0.262291,-0.382041,2.050539,0.524083,-0.179518,-0.928984,-0.031427,1.537656,stable
0.74069,1.854496,-0.104849,1.249688,-1.023731,0.459496,-2.234485,-1.014134,-1.055232,0.003876,0.722057,unstable
-0.807589,-0.774071,0.552,-1.547654,1.352718,-0.201955,0.627749,-1.749705,-0.388657,-0.217511,-0.913098,stable
-0.225304,2.658678,-0.579477,0.214355,-0.456879,0.492047,0.023493,-0.097242,0.181373,-1.685966,0.404495,unstable
-1.684635,1.104501,-0.267976,1.534764,-2.270986,0.30421,0.785848,-0.655583,-0.354644,-1.067806,0.711962,unstable
-1.274645,-1.007597,-0.662608,1.785916,-2.05911,1.431145,0.280628,0.547008,-0.171136,-0.264158,-0.373932,stable
-0.222244,-1.411306,-0.431078,-0.621752,1.676556,0.75316,-0.243548,-0.892933,-1.248549,-0.374197,1.54836,stable
0.209229,-0.01501,0.329387,-0.470082,-0.710643,-0.044423,0.428806,1.225298,-0.407386,0.313953,1.38034,unstable
1.324497,-0.814577,-0.280986,1.806209,-0.458786,0.443527,-0.183316,0.623071,-0.240265,1.050789,-0.763398,unstable
-1.117829,-2.585743,-1.463502,0.907262,-1.39844,-0.08288,-0.205321,0.405839,-0.615904,0.723236,0.573448,stable
-1.806119,0.193563,-0.029501,0.004552,2.158581,1.124438,-0.709062,-0.25464,0.202394,1.406232,-0.516827,unstable
1.550661,1.121732,-0.432149,-1.028634,-1.741246,0.587056,-0.192147,-0.63455,0.789785,-1.148146,0.407935,unstable
-0.088377,-1.524063,-0.210639,-0.946603,0.863824,-1.445572,-0.213419,-2.227382,-0.789057,0.187876,0.069814,stable
1.109155,0.869622,1.631279,-0.427371,0.246233,0.470747,0.994983,-0.990711,-1.629037,-1.256634,-0.549692,unstable
0.814275,-0.920744,-0.079454,2.008077,0.468079,1.139213,0.013918,0.190409,0.418485,-2.007916,-0.167001,stable
1.819163,-1.212284,-2.746797,-1.864632,0.43917,1.4331,-0.425015,0.717961,-1.077441,-0.460825,0.858842,stable
-1.496095,0.194219,-0.743662,0.751279,0.089202,0.18119,0.377258,0.124074,-0.778953,1.856205,-0.398163,unstable
0.485129,-0.684996,-0.956324,-0.051729,0.005967,0.415888,-1.28236,-1.019832,1.037343,1.788948,-0.469362,unstable
-0.701643,0.954431,-1.516998,0.581433,-1.630562,-0.464244,1.448454,-0.990575,0.346677,0.142186,0.278278,unstable
-0.778477,0.629808,-0.692806,0.733346,0.168316,-0.522273,0.256783,-0.026682,-0.373618,0.489667,-0.505747,unstable
1.300996,-1.981298,0.595319,0.50541,0.779918,0.831648,1.208834,0.276412,0.289904,-0.60201,1.756685,stable
-1.244198,1.938054,0.810782,-1.005102,-0.540269,0.251692,1.285411,0.891969,-0.072998,-1.217643,0.806289,unstable
1.526796,1.077937,-0.68009,-0.20003,-1.171518,-0.312415,0.652991,-0.645439,0.858719,-0.240331,-0.775633,unstable
0.981283,0.073799,-0.17264,-0.429378,-0.82739,-1.5665,0.836131,0.671199,1.450694,-0.093031,-0.733855,unstable
-1.096664,2.352982,-1.402713,-1.285098,-0.913036,-1.053523,1.248011,0.514874,0.222595,0.420878,0.104217,unstable
-1.873637,-0.369314,-0.966541,1.117573,-0.4003,-0.81463,0.287318,1.610606,-0.461274,1.524916,-0.823755,stable
-0.608301,-1.256203,-0.817639,-0.93778,0.159714,-1.124759,1.169235,1.196497,-0.811187,0.897233,0.078373,stable
-1.629838,-1.214262,-1.281658,-0.526245,1.772729,1.399421,-1.86048,-0.626083,-1.145232,-0.22207,-0.18134,stable
0.162572,-1.180536,-2.023618,-0.045185,-0.379566,1.343332,-0.075334,1.014233,0.307585,0.376007,0.00895,unstable
2.201953,3.01043,-0.436599,-0.784227,-0.148072,-0.580347,-0.869881,-0.287646,1.440507,0.288279,0.435404,unstable
2.151593,-0.080188,1.876294,1.068747,0.124413,0.22761,0.279331,-0.62629,-0.624572,-0.139163,0.058383,unstable
0.599671,-1.565194,-0.767754,0.420405,1.647808,-1.507583,-0.270925,-0.563056,-0.389436,0.436347,0.081342,stable
-0.121895,2.001589,-1.448822,-1.661687,-1.21485,0.094563,0.871679,1.174032,0.97132,-1.17174,0.06158,unstable
-0.421636,0.768913,1.004338,1.328065,2.390898,-1.737094,0.170174,0.009312,0.845839,-0.139357,-0.194571,unstable
-1.389341,-1.494023,-0.501972,-0.920358,-0.659989,-0.425996,0.430011,1.835415,-1.457442,1.169039,-1.071365,stable
-0.07876,0.698824,0.18041,-0.517161,-0.596377,-0.409559,0.816566,1.320054,-0.930749,0.778606,-1.147716,unstable
-0.268593,-0.678739,-1.37223,-0.855246,-0.1435,0.333367,1.62373,-1.516255,0.812454,0.073248,0.780869,stable
-2.135792,1.372128,0.127978,-0.175929,-0.226474,-0.445671,-0.700633,0.285066,0.074325,-1.940097,-0.540439,unstable
-0.827595,-1.450368,0.352297,1.063275,0.220182,0.355798,-0.598167,2.406426,0.959136,-0.005197,0.838108,stable
-2.598678,1.543699,0.328982,0.329412,1.007267,0.251447,-0.795029,-0.415264,0.080699,0.323528,-0.545061,unstable
-0.74914,-0.739136,0.0924,-1.052579,1.463013,-0.55354,-0.563243,-0.437535,-1.788387,0.700313,0.252078,stable
0.55724,0.42192,0.550382,-3.251297,1.143848,-0.861463,-0.545534,-0.134378,0.107992,-1.359791,-0.088858,unstable
-3.432232,0.158811,-0.368341,0.241418,-1.684762,0.031958,0.416478,-0.065545,0.304551,0.566904,-1.795871,unstable
-1.684737,-0.783421,0.142224,-0.228749,-0.403563,1.56581,1.298375,0.610138,0.6415,0.067864,-0.814313,unstable
0.605283,-2.7483,-1.206458,-0.852967,-1.615698,0.692992,1.275934,0.666598,-0.717326,-0.039048,-0.477095,stable
0.749687,-0.505963,0.162151,-0.114669,-0.654297,1.101697,0.449363,0.176382,-1.172429,0.100108,0.651631,unstable
1.585599,-2.190241,-0.319785,0.772101,1.425199,2.196573,-0.12911,0.182292,-0.044361,0.251647,-0.921765,stable
0.323982,-1.64055,0.165811,-0.435197,-0.666763,0.111473,0.235921,-1.966531,1.769936,1.829545,-0.884541,stable
-1.085372,-1.00686,0.403846,0.007542,0.729925,-1.137171,0.00517,-2.323259,-0.880358,1.60445,0.037247,stable
-0.19554,-2.468092,0.117432,-0.306217,0.932089,-0.687086,0.883955,0.365435,0.641045,-0.310767,0.357902,stable
-1.182251,-1.476869,-1.250216,0.381162,-1.352311,-1.659248,-1.221372,0.205549,-1.22797,-0.378772,0.913486,stable
0.829415,0.853831,-0.402682,0.053489,-1.127428,-1.048881,0.325492,-1.940917,0.849208,-1.232975,1.477325,unstable
-1.114628,0.96133,0.267365,-2.439151,0.952399,-1.028531,1.141158,0.43434,-0.53935,-0.143457,1.453148,unstable
0.790173,-1.963483,-2.122279,0.17459,0.192777,-1.111141,0.408867,0.559509,1.213321,-0.226708,0.229995,stable
-0.466412,1.974334,1.737983,0.074278,-1.329169,1.134596,-0.64852,-0.116011,1.316171,1.14789,-1.050083,unstable
-3.126389,-2.014379,2.071356,-0.835041,-1.16477,0.226539,0.995837,-1.439627,0.013332,-1.753311,-1.753306,stable
-0.567787,1.124773,-0.523119,-0.920746,1.484943,0.141345,0.204131,-0.107539,0.444606,0.045936,-0.399623,unstable
0.570073,0.305433,1.639857,1.504376,1.507498,1.280553,-1.580665,1.146761,-0.789705,1.459922,-0.512952,unstable
1.777865,1.446247,-1.689476,0.032346,-1.386876,-0.767575,-0.010707,0.39099,-0.579342,-0.656354,-0.351792,unstable
1.147034,0.777358,-1.295028,0.528926,-1.115196,-0.959751,-0.347068,0.128691,0.773716,1.451335,0.404087,unstable
1.955559,0.387046,0.709546,0.061439,-0.0012,2.199488,0.55378,-0.043853,1.264781,1.152933,-1.382898,unstable
0.597304,-2.068652,-2.67272,0.344073,0.191265,-0.580848,0.958211,-0.260966,-0.968534,0.687283,0.913196,stable
-2.086245,-0.436948,-0.064093,0.054392,0.093189,0.410052,0.412488,0.007925,0.735502,0.344129,0.371206,unstable
-1.932821,-0.319907,1.875361,-0.009246,-1.522112,0.307305,-0.48878,0.853668,-0.015248,-0.645017,1.705627,unstable
-0.1929,-1.85448,0.409628,-0.555764,0.439058,-1.064615,-1.183614,-2.577902,-0.467906,1.455459,0.169249,stable
0.894954,0.707374,-0.027507,1.049723,0.370177,2.781332,0.281916,-0.862869,1.03717,-0.05338,-0.79301,unstable
0.777746,-2.63241,-0.759717,-0.681273,0.513376,0.330309,-1.360599,-1.234936,-1.498229,-0.709862,0.21687,stable
-2.109119,2.002863,-0.874295,1.307121,-0.08934,0.955327,-0.464585,0.486153,-0.772038,-1.810361,-0.044219,unstable
0.20079,1.392239,-1.321449,-0.91635,-0.746796,-0.973096,-0.036202,-1.188658,-0.970428,-0.123671,-1.337158,unstable
-0.329417,-1.975012,1.432647,-0.048973,-0.622822,-0.365861,-1.907925,-0.903293,-1.534711,-0.290908,-1.780487,stable
-1.567285,-1.001717,-1.632231,-0.289033,-0.689412,-0.669322,0.226541,-0.271776,0.510565,-1.088042,-1.296098,stable
0.312485,-0.85913,0.917986,-0.366287,2.30048,-0.17215,0.781274,-1.371938,0.022275,-0.087564,-0.544546,stable
-0.685987,0.090238,1.997028,-0.062367,2.669178,-0.636696,-0.487921,-1.174276,-0.796814,0.918571,-0.075882,unstable
-1.335423,-1.872762,-1.351778,0.367676,-0.604173,-0.633734,0.069524,-0.280319,0.466362,-1.475413,0.86828,stable
-0.934523,-1.480607,1.33965,1.088357,-0.801669,-0.333841,1.495819,0.080725,-1.518864,0.834388,0.94726,stable
0.877734,0.564797,1.23308,-0.958208,-0.267427,0.034974,1.124177,0.992933,-1.056321,-0.146702,-1.228709,unstable
0.972108,0.159292,0.045784,1.240647,-0.105154,-0.4848,-0.36876,1.030805,-1.237188,0.190375,-1.721476,unstable
0.243558,1.909117,-1.381165,-1.139179,0.451135,-0.279714,0.290879,-0.057507,0.796304,0.906731,0.481925,unstable
0.423949,0.512011,0.079263,0.59127,-1.378173,-1.072283,0.896031,-1.025479,0.687829,-1.716917,-0.602313,unstable
-0.632747,-0.347117,-0.392629,1.652031,-0.347697,0.932835,0.866977,0.288698,-0.544993,0.149359,1.490368,unstable
1.77984,-0.533924,1.352051,0.779784,-1.624657,-0.565405,-1.227342,-0.884854,-0.829769,-0.213996,0.021686,unstable
0.388444,-0.189746,-0.658636,-0.222565,1.933065,-1.620243,0.834567,-0.170573,0.430831,-0.574813,0.332717,unstable
0.201,0.41193,0.466931,1.002831,-0.041194,0.846774,-1.060075,-1.357033,0.101967,-1.934592,-0.789263,unstable
1.595361,3.009937,-0.998898,0.302049,-0.216201,-0.88696,1.057065,-0.5665,-1.140229,-0.298501,-1.388083,unstable
-1.384146,1.590262,-0.812795,-0.928546,-1.134207,0.167847,0.042292,0.38096,-1.493219,0.873161,0.504104,unstable
0.49943,0.608877,0.211235,-1.402816,0.030538,2.222882,0.841316,-0.322605,0.858533,-0.965072,-1.173599,unstable
3.347758,-0.546209,-0.066825,-0.363259,-0.357982,0.379415,1.693462,-0.588889,0.183891,2.29997,-0.426804,stable
-2.690795,-1.443547,-0.056178,-0.408813,-1.011766,-0.522088,-0.986235,1.166254,-0.018627,0.896274,-0.243635,stable
-0.708957,-0.80758,0.638027,1.441643,-0.686485,0.729725,-0.955813,1.340013,-0.147606,0.717975,-1.697182,unstable
3.153669,1.214784,0.736276,-0.763771,0.977672,0.513329,-0.720455,1.392618,-1.030395,0.209072,-0.909874,unstable
-0.107906,-1.367079,-1.275641,1.331504,-0.301556,0.331036,0.847601,-0.801585,2.460606,-0.054163,0.13445,stable
-1.264717,0.717594,1.27279,-0.906839,0.52705,-0.630738,-0.944541,-0.654457,1.059623,-0.625518,1.1676,unstable
-1.161646,-0.892945,-0.201286,-1.113184,-1.572431,-0.994915,-0.678207,-0.052088,1.94163,-1.360306,-0.288253,unstable
0.994583,1.776774,-0.034977,2.124922,-0.188022,1.313505,0.697854,0.998586,1.121102,1.093596,-0.160615,unstable
0.935817,-0.924717,1.058941,-0.157981,-0.34174,-0.509823,-0.423927,1.539351,-1.378527,-0.12033,-2.355518,stable
0.574105,-1.602264,0.142943,-2.568249,-0.142538,-0.219641,0.611881,-2.036118,-0.244942,-0.98359,0.215324,stable
-1.368721,-1.289552,-0.027755,0.668708,0.323981,1.83783,-1.402667,0.557778,-0.521379,-0.997764,-0.703039,stable
2.294858,-1.205518,-1.056249,0.432032,-0.842868,-1.393137,-0.955956,-0.521398,-2.459985,0.949032,0.584482,stable
1.503345,0.090432,-1.942272,1.242327,-0.53889,-0.491003,0.173845,-0.63512,0.808085,-0.445187,1.57972,unstable
1.279034,-0.884196,1.062872,0.022991,-1.636688,-1.298462,-2.344889,0.307676,-0.268972,0.107619,0.581532,stable
-1.752941,-1.464806,-0.144878,-1.317073,-1.006669,0.42321,-1.218353,0.768599,-0.769648,-0.581999,0.566288,stable
-2.342203,-0.179302,0.17393,0.754259,0.25093,-0.320761,1.114211,-1.134425,0.962042,-1.93747,1.190585,unstable
-0.490026,-0.373012,0.813698,-0.462129,-0.930537,-0.075789,-0.574081,0.020982,1.027138,1.675711,1.376048,unstable
-0.392328,1.378139,-1.522972,1.897653,-0.962762,1.261225,-0.168497,-0.426569,-0.889013,0.117944,-0.274906,unstable
-1.554648,2.181583,-1.233354,0.818102,0.02197,-0.431791,-0.091163,-0.481043,0.356332,0.353697,0.159657,unstable
2.867789,-2.192277,-1.40978,-0.602684,-0.383208,0.816867,-0.349579,0.463668,0.196867,-0.129488,0.380683,stable
-0.882392,-2.938601,0.762112,-1.040865,0.431768,-0.260227,0.829609,-1.313392,0.455003,-0.296523,-0.49878,stable
0.150841,1.368003,0.985032,-0.252617,-0.986546,-1.840359,-0.081289,-0.240656,0.895811,-1.114405,-1.646873,unstable
